version,flow_code,region_code,unit_reference,value,unit_emission,metric
v2.1.6,C_ALUM_01_RES,AT,Meuro,13194.8059667139,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,AU,Meuro,11041.2497745397,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,BE,Meuro,3121.6589970997,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,BG,Meuro,12234.513630907,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,BR,Meuro,4505.5891103834,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,CA,Meuro,2875.4211951988,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,CH,Meuro,4136.6257396531,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,CN,Meuro,6172.268710466,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,CY,Meuro,5805.4007659752,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,CZ,Meuro,4142.889414949,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,DE,Meuro,27656.8990096054,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,DK,Meuro,1693.4250157067,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,EE,Meuro,30119.2762516081,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,ES,Meuro,15910.8530024799,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,FI,Meuro,13126.7478226124,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,FR,Meuro,4526.6871448826,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,GB,Meuro,7709.5583086504,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,GR,Meuro,6791.3378831799,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,HR,Meuro,3446.0667804599,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,HU,Meuro,3844.8786053467,tonnes CO2eq,GWP100
v2.1.6,C_ALUM_01_RES,ID,Meuro,6534.8540212501,tonnes CO2eq,GWP100
